pupmod-acpid,0.0.1-1,**true**
pupmod-aide,4.1.0-7,**true**
pupmod-apache,4.1.0-16,**true**
pupmod-auditd,5.0.0-0,false
pupmod-auditd,4.1.0-13,false
pupmod-augeasproviders,2.1.3-0,**true**
pupmod-augeasproviders_apache,2.0.1-0,false
pupmod-augeasproviders_base,2.0.1-0,**true**
pupmod-augeasproviders_core,2.0.1-0,**true**
pupmod-augeasproviders_grub,2.0.1-0,**true**
pupmod-augeasproviders_mounttab,2.0.1-0,false
pupmod-augeasproviders_nagios,2.0.1-0,false
pupmod-augeasproviders_pam,2.0.1-0,false
pupmod-augeasproviders_postgresql,2.0.1-0,false
pupmod-augeasproviders_puppet,2.0.1-0,false
pupmod-augeasproviders_shellvar,2.0.1-0,false
pupmod-augeasproviders_ssh,2.5.0-0,**true**
pupmod-augeasproviders_sysctl,2.0.1-0,false
pupmod-autofs,4.1.0-6,false
pupmod-backuppc,4.1.0-5,false
pupmod-cgroups,1.0.0-7,false
pupmod-clamav,4.1.0-6,**true**
pupmod-concat,4.0.0-3,**true**
pupmod-dhcp,4.1.0-4,**true**
pupmod-freeradius,4.2.0-4,false
pupmod-ganglia,4.1.0-6,false
pupmod-gfs2,4.1.0-2,false
pupmod-iptables,4.1.0-13,**true**
pupmod-jenkins,4.1.0-6,false
pupmod-krb5,4.1.0-3,false
pupmod-libvirt,4.1.0-15,false
pupmod-logrotate,4.1.0-2,**true**
pupmod-mcafee,4.1.0-2,false
pupmod-mozilla,4.1.0-1,false
pupmod-multipathd,4.1.0-2,false
pupmod-named,4.2.0-6,**true**
pupmod-network,4.1.0-4,**true**
pupmod-nfs,4.1.0-12,false
pupmod-nscd,5.0.0-4,**true**
pupmod-ntpd,4.1.0-8,**true**
pupmod-oddjob,1.0.0-1,false
pupmod-onyxpoint-gpasswd,1.0.0-1,**true**
pupmod-openldap,4.1.1-3,**true**
pupmod-openscap,4.2.0-2,false
pupmod-pam,4.1.0-12,**true**
pupmod-pam,4.1.0-11,**true**
pupmod-pki,4.1.0-4,**true**
pupmod-polkit,4.1.0-1,false
pupmod-postfix,4.1.0-4,**true**
pupmod-pupmod,6.0.0-19,**true**
pupmod-puppetlabs-apache,1.0.1-2,false
pupmod-puppetlabs-inifile,1.2.0-1,**true**
pupmod-puppetlabs-java,1.2.0-0,false
pupmod-puppetlabs-java_ks,1.2.0-1,false
pupmod-puppetlabs-mysql,2.2.3-1,false
pupmod-richardc-datacat,0.6.1-0,false
pupmod-rsync,4.2.0-2,**true**
pupmod-rsyslog,5.0.0-0,**true**
pupmod-saz-memcached,4.0.0-2,false
pupmod-selinux,1.0.0-4,**true**
pupmod-simp,1.1.0-4,**true**
pupmod-simp,1.1.0-3,**true**
pupmod-simp-activemq,2.0.0-0,false
pupmod-simp-elasticsearch,2.0.0-3,false
pupmod-simp-kibana,3.0.1-3,false
pupmod-simp-logstash,1.0.0-6,false
pupmod-simp-mcollective,2.0.0-0,false
pupmod-simplib,1.0.0-0,**true**
pupmod-site,2.0.0-3,**true**
pupmod-snmpd,4.1.0-3,false
pupmod-ssh,4.1.0-10,**true**
pupmod-ssh-augeas-lenses,4.1.0-10,**true**
pupmod-sssd,4.1.0-6,false
pupmod-stunnel,4.2.0-9,**true**
pupmod-sudo,4.1.0-2,**true**
pupmod-sudosh,4.1.0-3,**true**
pupmod-svckill,1.0.0-4,**true**
pupmod-sysctl,4.1.0-5,**true**
pupmod-tcpwrappers,3.0.0-2,**true**
pupmod-tftpboot,4.1.0-7,**true**
pupmod-tpm,0.0.1-8,**true**
pupmod-upstart,4.1.0-3,**true**
pupmod-vnc,4.1.0-3,false
pupmod-vsftpd,5.0.0-0,false
pupmod-windowmanager,4.1.0-2,false
pupmod-xinetd,2.1.0-3,false
pupmod-xwindows,4.1.0-3,false
puppetlabs-postgresql,4.1.0-1.SIMP,**true**
puppetlabs-puppetdb,5.0.0-0,**true**
puppetlabs-stdlib,4.9.0-0.SIMP,false
rubygem-simp-cli,1.0.8-0.el6,**true**
rubygem-simp-cli-doc,1.0.8-0.el6,**true**
simp,4.2.0-RC1,false
simp-bootstrap,4.2.0-2,**true**
simp-doc,4.2.0-RC1.1446214631,**true**
simp-doc,4.2.0-RC1,**true**
simp-gpgkeys,2.0.0-2.el6,**true**
simp-gpgkeys,2.0.0-3.el6,**true**
simp-rsync,4.2.0-1.el6,**true**
simp-rsync-clamav,4.2.0-1.el6,**true**
simp-utils,4.1.0-12,**true**
